id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region
19216,KA24,small_airport,California Pines Airport,41.41239929,-120.6839981,4398,NA,US,US-CA
19217,KA30,small_airport,Scott Valley Airport,41.558201,-122.855003,2728,NA,US,US-CA
19218,KA32,small_airport,Butte Valley Airport,41.8871994,-121.9759979,4243,NA,US,US-CA
19219,KA34,small_airport,Dayton Valley Airpark,39.238581,-119.555023,4414,NA,US,US-NV
19221,KA39,small_airport,Ak-Chin Regional Airport,32.990806,-111.918528,1300,NA,US,US-AZ
19222,KA50,small_airport,Colorado Springs East Airport,38.874401,-104.410004,6145,NA,US,US-CO
19223,KAAA,small_airport,Logan County Airport,40.158699,-89.334999,597,NA,US,US-IL
19224,KAAF,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL
19225,KAAO,small_airport,Colonel James Jabara Airport,37.74760056,-97.22109985,1421,NA,US,US-KS
29963,KAAP,closed,Andrau Airpark,29.7225,-95.588303,79,NA,US,US-TX
19226,KAAS,small_airport,Taylor County Airport,37.35829926,-85.30940247,921,NA,US,US-KY
19227,KAAT,small_airport,Alturas Municipal Airport,41.482736,-120.565671,4378,NA,US,US-CA
3356,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,NA,US,US-PA
3357,KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791,NA,US,US-TX
16091,KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM
3358,KABR,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,1302,NA,US,US-SD
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197,NA,US,US-GA
19228,KACB,small_airport,Antrim County Airport,44.988602,-85.198402,623,NA,US,US-MI
19229,KACJ,small_airport,Jimmy Carter Regional Airport,32.110802,-84.188904,468,NA,US,US-GA
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA
19230,KACP,small_airport,Allen Parish Airport,30.75029945,-92.68830109,107,NA,US,US-LA
19231,KACQ,small_airport,Waseca Municipal Airport,44.07350159,-93.55290222,1126,NA,US,US-MN
3361,KACT,medium_airport,Waco Regional Airport,31.61129951,-97.23049927,516,NA,US,US-TX
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,US,US-CA
3363,KACY,medium_airport,Atlantic City International Airport,39.45759964,-74.57720184,75,NA,US,US-NJ
19232,KACZ,small_airport,Henderson Field,34.71789932,-78.00360107,39,NA,US,US-NC
19233,KADC,small_airport,Wadena Municipal Airport,46.45029831,-95.21099854,1369,NA,US,US-MN
19234,KADG,small_airport,Lenawee County Airport,41.866205,-84.077983,798,NA,US,US-MI
19235,KADH,small_airport,Ada Regional Airport,34.805214,-96.671988,1016,NA,US,US-OK
19236,KADM,small_airport,Ardmore Municipal Airport,34.30301,-97.0196342,777,NA,US,US-OK
19237,KADS,small_airport,Addison Airport,32.96860123,-96.83640289,644,NA,US,US-TX
19238,KADT,small_airport,Atwood-Rawlins City-County Airport,39.840099,-101.042,2991,NA,US,US-KS
19239,KADU,small_airport,Audubon County Airport,41.70140076,-94.92050171,1287,NA,US,US-IA
3364,KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280,NA,US,US-MD
19240,KAE,seaplane_base,Kake Seaplane Base,56.973,-133.945999,,NA,US,US-AK
19242,KAEG,small_airport,Double Eagle II Airport,35.14519882,-106.7949982,5837,NA,US,US-NM
19243,KAEJ,small_airport,Central Colorado Regional Airport,38.812906,-106.120062,7946,NA,US,US-CO
19244,KAEL,small_airport,Albert Lea Municipal Airport,43.68149948,-93.36720276,1260,NA,US,US-MN
3365,KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89,NA,US,US-LA
313453,KAF,small_airport,Karato Airport,-6.2655,155.3052,109,OC,PG,PG-NSB
19245,KAFF,small_airport,USAF Academy Airfield,38.972497,-104.821125,6572,NA,US,US-CO
19246,KAFJ,small_airport,Washington County Airport,40.136501,-80.290199,1184,NA,US,US-PA
19247,KAFK,small_airport,Nebraska City Municipal Airport,40.606899,-95.8657,1165,NA,US,US-NE
19248,KAFN,small_airport,Jaffrey Airfield Silver Ranch Airport,42.805099,-72.002998,1040,NA,US,US-NH
19249,KAFO,small_airport,Afton Municipal Airport,42.71120071,-110.9420013,6221,NA,US,US-WY
19250,KAFP,small_airport,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,300,NA,US,US-NC
3366,KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,722,NA,US,US-TX
3367,KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,1252,NA,US,US-PA
19251,KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,319,NA,US,US-AR
19252,KAGR,small_airport,MacDill Air Force Base Auxiliary Field,27.65060043,-81.34940338,68,NA,US,US-FL
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,NA,US,US-GA
19253,KAGZ,small_airport,Wagner Municipal Airport,43.06330109,-98.29620361,1475,NA,US,US-SD
19254,KAHC,small_airport,Amedee Army Air Field,40.26620102,-120.1529999,4012,NA,US,US-CA
19255,KAHH,small_airport,Amery Municipal Airport,45.28110123,-92.37539673,1088,NA,US,US-WI
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.94860077,-83.32630157,808,NA,US,US-GA
19256,KAHQ,small_airport,Wahoo Municipal Airport,41.24129868,-96.59400177,1224,NA,US,US-NE
19257,KAIA,small_airport,Alliance Municipal Airport,42.05319977,-102.8040009,3931,NA,US,US-NE
19258,KAIB,small_airport,Hopkins Field,38.239025,-108.563354,5940,NA,US,US-CO
19259,KAID,small_airport,Anderson Municipal Darlington Field,40.10860062,-85.61299896,919,NA,US,US-IN
19260,KAIG,small_airport,Langlade County Airport,45.154202,-89.110703,1521,NA,US,US-WI
19261,KAIK,small_airport,Aiken Regional Airport,33.649399,-81.684998,528,NA,US,US-SC
19262,KAIO,small_airport,Atlantic Municipal Airport,41.40729904,-95.04689789,1165,NA,US,US-IA
19263,KAIT,small_airport,Aitkin Municipal Airport Steve Kurtz Field,46.548401,-93.676804,1205,NA,US,US-MN
19264,KAIV,small_airport,George Downer Airport,33.106499,-88.1978,150,NA,US,US-AL
19265,KAIY,closed,Atlantic City Municipal Bader Field,39.360001,-74.4561,8,NA,US,US-NJ
19266,KAIZ,small_airport,Lee C Fine Memorial Airport,38.09600067,-92.54949951,869,NA,US,US-MO
19267,KAJG,small_airport,Mount Carmel Municipal Airport,38.60649872,-87.72669983,429,NA,US,US-IL
19268,KAJO,small_airport,Corona Municipal Airport,33.897701,-117.601997,533,NA,US,US-CA
19269,KAJR,small_airport,Habersham County Airport,34.499901,-83.556702,1448,NA,US,US-GA
19270,KAJZ,small_airport,Blake Field,38.7864,-108.064003,5193,NA,US,US-CO
312735,KAK,small_airport,Kar Airport,-6.2452,143.5516,4965,OC,PG,PG-SHM
19271,KAKH,small_airport,Gastonia Municipal Airport,35.202598,-81.149902,798,NA,US,US-NC
19272,KAKO,small_airport,Colorado Plains Regional Airport,40.17559814,-103.2220001,4714,NA,US,US-CO
19273,KAKQ,small_airport,Wakefield Municipal Airport,36.98720169,-77.00109863,113,NA,US,US-VA
3370,KAKR,medium_airport,Akron Executive Airport,41.037498,-81.466904,1067,NA,US,US-OH
3371,KALB,medium_airport,Albany International Airport,42.74829865,-73.80169678,285,NA,US,US-NY
3372,KALI,medium_airport,Alice International Airport,27.7409,-98.026901,178,NA,US,US-TX
3373,KALM,medium_airport,Alamogordo White Sands Regional Airport,32.84051,-105.98794,4200,NA,US,US-NM
3374,KALN,medium_airport,St Louis Regional Airport,38.89030075,-90.04599762,544,NA,US,US-IL
3375,KALO,medium_airport,Waterloo Regional Airport,42.55709839,-92.40029907,873,NA,US,US-IA
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,NA,US,US-CO
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,US,US-WA
19276,KALX,small_airport,Thomas C Russell Field,32.91469955,-85.96299744,686,NA,US,US-AL
3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,NA,US,US-TX
19277,KAMG,small_airport,Bacon County Airport,31.53610039,-82.50659943,200,NA,US,US-GA
19278,KAMN,small_airport,Gratiot Community Airport,43.32210159,-84.68800354,754,NA,US,US-MI
19279,KAMT,small_airport,Alexander Salamon Airport,38.851501,-83.566299,896,NA,US,US-OH
19280,KAMW,small_airport,Ames Municipal Airport,41.992001,-93.621803,956,NA,US,US-IA
3378,KANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,612,NA,US,US-AL
3379,KAND,medium_airport,Anderson Regional Airport,34.49459839,-82.70939636,782,NA,US,US-SC
19281,KANE,small_airport,Anoka County-Blaine (Janes Field) Airport,45.145,-93.211401,912,NA,US,US-MN
19282,KANJ,small_airport,Sault Ste Marie Municipal Sanderson Field,46.47919846,-84.36840057,716,NA,US,US-MI
19283,KANK,small_airport,Salida Airport - Harriet Alexander Field,38.5383,-106.049004,7523,NA,US,US-CO
19284,KANP,small_airport,Lee Airport,38.942902,-76.568398,34,NA,US,US-MD
19285,KANQ,small_airport,Tri State Steuben County Airport,41.639702,-85.083504,995,NA,US,US-IN
19286,KANW,small_airport,Ainsworth Regional Airport,42.579201,-99.992995,2589,NA,US,US-NE
19287,KANY,small_airport,Anthony Municipal Airport,37.158501,-98.079597,1340,NA,US,US-KS
19288,KAOC,small_airport,Arco Butte County Airport,43.6035,-113.334,5332,NA,US,US-ID
19289,KAOH,small_airport,Lima Allen County Airport,40.706902,-84.026703,975,NA,US,US-OH
3380,KAOO,medium_airport,Altoona Blair County Airport,40.296398,-78.32,1503,NA,US,US-PA
19290,KAOV,small_airport,Ava Bill Martin Memorial Airport,36.97190094,-92.68190002,1311,NA,US,US-MO
19291,KAPA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885,NA,US,US-CO
19292,KAPC,small_airport,Napa County Airport,38.2132,-122.280998,35,NA,US,US-CA
19293,KAPF,medium_airport,Naples Municipal Airport,26.15259933,-81.77529907,8,NA,US,US-FL
3381,KAPG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57,NA,US,US-MD
19294,KAPH,small_airport,Mary Walker LZ Airport,38.068631,-77.319318,220,NA,US,US-VA
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI
19295,KAPT,small_airport,Marion County Airport - Brown Field,35.060699,-85.585297,641,NA,US,US-TN
19296,KAPV,small_airport,Apple Valley Airport,34.57529831,-117.185997,3062,NA,US,US-CA
21170,KAPY,small_airport,Zapata County Airport,26.96879959,-99.24890137,422,NA,US,US-TX
302390,KAQ,small_airport,Kamulai Airport,-8.150694444,146.834,5800,OC,PG,PG-CPM
19297,KAQO,small_airport,Llano Municipal Airport,30.78370094,-98.66200256,1102,NA,US,US-TX
19298,KAQP,small_airport,Appleton Municipal Airport,45.228239,-96.005856,1020,NA,US,US-MN
19299,KAQR,small_airport,Atoka Municipal Airport,34.39830017,-96.14810181,590,NA,US,US-OK
19300,KAQW,small_airport,Harriman and West Airport,42.69589996,-73.17040253,654,NA,US,US-MA
19110,KAQX,small_airport,Allendale County Airport,32.995098,-81.270203,161,NA,US,US-SC
19301,KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,24,NA,US,US-LA
19302,KARB,small_airport,Ann Arbor Municipal Airport,42.22299957,-83.74559784,839,NA,US,US-MI
19303,KARG,small_airport,Walnut Ridge Regional Airport,36.124667,-90.925111,279,NA,US,US-AR
19304,KARM,small_airport,Wharton Regional Airport,29.254299,-96.154404,100,NA,US,US-TX
19305,KARR,small_airport,Aurora Municipal Airport,41.77190018,-88.47570038,712,NA,US,US-IL
3383,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325,NA,US,US-NY
19306,KARV,small_airport,Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,1629,NA,US,US-WI
19028,KARW,small_airport,Beaufort Executive Airport,32.412201,-80.634399,10,NA,US,US-SC
19307,KASD,small_airport,Slidell Airport,30.3451004,-89.82080078,29,NA,US,US-LA
19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820,NA,US,US-CO
19309,KASG,small_airport,Springdale Municipal Airport,36.17639923,-94.11930084,1353,NA,US,US-AR
19310,KASH,small_airport,Nashua Airport / Boire Field,42.7817,-71.514801,199,NA,US,US-NH
19311,KASJ,small_airport,Tri County Airport,36.29750061,-77.17089844,68,NA,US,US-NC
19312,KASL,small_airport,Harrison County Airport,32.52050018,-94.30780029,357,NA,US,US-TX
19313,KASN,small_airport,Talladega Municipal Airport,33.56990051,-86.05090332,529,NA,US,US-AL
19314,KAST,medium_airport,Astoria Regional Airport,46.15800095,-123.8789978,15,NA,US,US-OR
19315,KASW,small_airport,Warsaw Municipal Airport,41.27470016,-85.84010315,850,NA,US,US-IN
19316,KASX,small_airport,John F Kennedy Memorial Airport,46.54850006,-90.91899872,827,NA,US,US-WI
19317,KASY,small_airport,Ashley Municipal Airport,46.02389908,-99.3526001,2032,NA,US,US-ND
19318,KATA,small_airport,Hall Miller Municipal Airport,33.10179901,-94.19529724,280,NA,US,US-TX
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,NA,US,US-GA
19319,KATS,small_airport,Artesia Municipal Airport,32.85250092,-104.4680023,3541,NA,US,US-NM
19320,KATW,small_airport,Appleton International Airport,44.258099,-88.519096,918,NA,US,US-WI
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,NA,US,US-SD
19321,KAUG,medium_airport,Augusta State Airport,44.3205986,-69.79730225,352,NA,US,US-ME
